httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'labels.""commit-sha""","'labels.""gcb-build-id""","'labels.""gcb-trigger-id""","'labels.""gcb-trigger-region""",labels.instanceId,"'labels.""managed-by""",logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,,69689c07000d7d37c17b96cf,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:28.034711961Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:27 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/portfolio/positions 200 92382 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:27.884023Z",,
,,,,,,,,,,,69689c05000a18a3b41d564e,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:25.704935270Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:25 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/research?limit=20 200 757812 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:25.661667Z",,
,,,,,,,,,,,69689c050004e5ad580eb4fe,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:25.372000428Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:25 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/market-data/analyzer?page=1&limit=4&sortBy=market_cap&sortDir=DESC&aiRating=Strong+Buy&aiRating=Buy 200 41342 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:25.320941Z",,
,,,,,,,,,,,69689c04000ee8a00748797f,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:25.037702956Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:24 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/research?since=24&limit=1 200 5243 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:24.977056Z",,
,,,,,,,,,,,69689c04000b96cd242be5f4,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:25.037702956Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:24 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/stats/sell 200 366 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:24.759501Z",,
,,,,,,,,,,,69689c04000b0bd587f4dc3d,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:25.037702956Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:24 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/stats/strong-buy 200 76 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:24.723925Z",,
,,,,,,,,,,,69689c040008209af8229998,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Fstdout",,"'2026-01-15T07:49:24.705892267Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,,,"'[32m[Nest] 1  - [39m01/15/2026, 7:49:24 AM [32m    LOG[39m [38;5;3m[HTTP] [39m[32mGET /api/v1/tickers/count 200 13 - Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36 169.254.169.126[39m","'2026-01-15T07:49:24.532634Z",,
1.818281231s,HTTP/1.1,https://neuralticker.com/,178.40.242.101,GET,1310,"'https://neuralticker.com/api/v1/research?limit=20",758134,216.239.32.21,200,"'Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",69689c05000a1bd911f2da71,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Frequests",,"'2026-01-15T07:49:25.705984324Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,INFO,04dd34b1b94e5bad,,"'2026-01-15T07:49:23.842994Z","'projects/neuro-b7a51/traces/9b4992aabe9dc52867e198a4366e5fea",
1.136265858s,HTTP/1.1,https://neuralticker.com/,178.40.242.101,GET,1318,"'https://neuralticker.com/api/v1/research?since=24&limit=1",5563,216.239.32.21,200,"'Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",69689c04000ee9cd3cb7c1b3,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Frequests",,"'2026-01-15T07:49:25.041115102Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,INFO,953e672bddc044c5,,"'2026-01-15T07:49:23.839916Z","'projects/neuro-b7a51/traces/2278816f4b89047167e198a4366e59ee",
4.044993249s,HTTP/1.1,https://neuralticker.com/,178.40.242.101,GET,1312,https://neuralticker.com/api/v1/portfolio/positions,92703,216.239.32.21,200,"'Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",69689c07000d7f1ee2efeb8d,65d44b0ca9c6a3e6257d7625fa4a4d36dfd664ca,"'efefc9bb-0202-411d-b8e1-2fc394da43a1","'d21c8fa8-8b25-4d00-8afd-48ddd63e8b38",global,005eb6974c4e5dba21c2a1e9aaabd9eaa6d7d730ffc5d93f56ee207bd25c987b9123e338e28ee30bf10eb64a70e77ed41d765828dec87762be3395dbf3863d520a0cf5795629ef0ae91fed3f835c,"'gcp-cloud-build-deploy-cloud-run","'projects/neuro-b7a51/logs/run.googleapis.com%2Frequests",,"'2026-01-15T07:49:28.040416565Z","'neural-ticker-core","'us-central1","'neuro-b7a51","'neural-ticker-core-00116-qsz","'neural-ticker-core",cloud_run_revision,INFO,d1b52ffd84fc352f,,"'2026-01-15T07:49:23.837931Z","'projects/neuro-b7a51/traces/5aa372127eedbb6967e198a4366e59d5",
